ID or #		Start	End	Type	Contig
gene56		57586	58581	complete	NODE_17_length_95650_cov_10.453357:36391-37386
gene57		58697	60820	complete	NODE_17_length_95650_cov_10.453357:37502-39625
gene58		60862	62127	complete	NODE_17_length_95650_cov_10.453357:39667-40932
gene59		62165	62479	complete	NODE_17_length_95650_cov_10.453357:40970-41284
gene60		62476	63624	complete	NODE_17_length_95650_cov_10.453357:41281-42429
gene61		63714	64718	complete	NODE_17_length_95650_cov_10.453357:42519-43523
gene62		64715	65722	complete	NODE_17_length_95650_cov_10.453357:43520-44527
gene63		65719	67230	complete	NODE_17_length_95650_cov_10.453357:44524-46035
gene64		67376	68362	complete	NODE_17_length_95650_cov_10.453357:46181-47167
gene65		68444	69274	complete	NODE_17_length_95650_cov_10.453357:47249-48079
gene66		69424	70683	complete	NODE_17_length_95650_cov_10.453357:48229-49488
gene67		70680	72146	complete	NODE_17_length_95650_cov_10.453357:49485-50951
gene68		72457	73293	complete	NODE_17_length_95650_cov_10.453357:51262-52098
gene69		73367	74212	complete	NODE_17_length_95650_cov_10.453357:52172-53017
gene70		74245	75279	complete	NODE_17_length_95650_cov_10.453357:53050-54084
gene71		75569	76189	complete	NODE_17_length_95650_cov_10.453357:54374-54994
gene72		76262	76936	complete	NODE_17_length_95650_cov_10.453357:55067-55741
gene73		77004	78365	complete	NODE_17_length_95650_cov_10.453357:55809-57170
gene74		78374	79072	complete	NODE_17_length_95650_cov_10.453357:57179-57877
gene75		79222	79725	complete	NODE_17_length_95650_cov_10.453357:58027-58530
gene76		79884	80786	complete	NODE_17_length_95650_cov_10.453357:58689-59591
gene77		80983	81945	complete	NODE_17_length_95650_cov_10.453357:59788-60750
gene78		82007	82354	complete	NODE_17_length_95650_cov_10.453357:60812-61159
gene79		82585	83505	complete	NODE_17_length_95650_cov_10.453357:61390-62310
gene80		83575	84909	complete	NODE_17_length_95650_cov_10.453357:62380-63714
gene81		84919	85449	complete	NODE_17_length_95650_cov_10.453357:63724-64254
gene82		85541	86395	complete	NODE_17_length_95650_cov_10.453357:64346-65200
gene83		86603	87631	complete	NODE_17_length_95650_cov_10.453357:65408-66436
gene84		87621	87752	complete	NODE_17_length_95650_cov_10.453357:66426-66557
gene85		87782	89977	complete	NODE_17_length_95650_cov_10.453357:66587-68782
gene86		90293	90442	complete	NODE_17_length_95650_cov_10.453357:69098-69247
gene87		90544	90861	complete	NODE_17_length_95650_cov_10.453357:69349-69666
gene88		91129	92289	complete	NODE_17_length_95650_cov_10.453357:69934-71094
gene89		92292	94724	partial	NODE_17_length_95650_cov_10.453357:71097-73547
gene94		99168	100055	complete	NODE_17_length_95650_cov_10.453357:75186-76073
gene100		104875	107526	complete	NODE_17_length_95650_cov_10.453357:79898-82549
gene101		107785	108936	complete	NODE_17_length_95650_cov_10.453357:82808-83959
gene102		109050	110054	complete	NODE_17_length_95650_cov_10.453357:84073-85077
gene103		110064	110837	complete	NODE_17_length_95650_cov_10.453357:85087-85860
gene105		112569	113486	complete	NODE_17_length_95650_cov_10.453357:87592-88509
gene106		113469	114803	complete	NODE_17_length_95650_cov_10.453357:88492-89826
gene107		115066	115701	complete	NODE_17_length_95650_cov_10.453357:90089-90724
gene108		115717	116076	complete	NODE_17_length_95650_cov_10.453357:90740-91099
gene109		116128	117228	complete	NODE_17_length_95650_cov_10.453357:91154-92254
gene110		117595	119433	partial	NODE_17_length_95650_cov_10.453357:92621-93264
gene114		125591	125705	complete	NODE_18_length_93281_cov_10.372534:7-121
gene125		136838	138313	complete	NODE_18_length_93281_cov_10.372534:11250-12725
gene135		148024	149283	complete	NODE_18_length_93281_cov_10.372534:22437-23696
gene136		149524	150627	complete	NODE_18_length_93281_cov_10.372534:23937-25040
gene137		150671	151687	complete	NODE_18_length_93281_cov_10.372534:25084-26100
gene138		151789	152874	complete	NODE_18_length_93281_cov_10.372534:26202-27287
gene139		152871	154133	complete	NODE_18_length_93281_cov_10.372534:27284-28546
gene140		154130	155197	complete	NODE_18_length_93281_cov_10.372534:28543-29610
gene141		155216	156097	complete	NODE_18_length_93281_cov_10.372534:29629-30510
gene142		156075	156749	complete	NODE_18_length_93281_cov_10.372534:30488-31162
gene143		156755	157885	complete	NODE_18_length_93281_cov_10.372534:31167-32297
gene144		157887	159137	complete	NODE_18_length_93281_cov_10.372534:32299-33549
gene145		159134	160210	complete	NODE_18_length_93281_cov_10.372534:33546-34622
gene146		160207	161553	complete	NODE_18_length_93281_cov_10.372534:34619-35965
gene147		161565	162305	complete	NODE_18_length_93281_cov_10.372534:35977-36717
gene148		162511	163896	complete	NODE_18_length_93281_cov_10.372534:36923-38308
gene149		164717	164890	complete	NODE_18_length_93281_cov_10.372534:39129-39302
gene150		164897	166093	complete	NODE_18_length_93281_cov_10.372534:39309-40505
gene151		166097	167278	complete	NODE_18_length_93281_cov_10.372534:40509-41690
gene152		167300	168040	complete	NODE_18_length_93281_cov_10.372534:41712-42452
gene153		168037	168978	complete	NODE_18_length_93281_cov_10.372534:42449-43390
gene154		169203	169322	complete	NODE_18_length_93281_cov_10.372534:43615-43734
gene155		169336	171888	complete	NODE_18_length_93281_cov_10.372534:43748-46300
gene156		172022	172342	complete	NODE_18_length_93281_cov_10.372534:46434-46754
gene157		172489	172692	complete	NODE_18_length_93281_cov_10.372534:46893-47096
gene158		172728	173552	complete	NODE_18_length_93281_cov_10.372534:47132-47956
gene159		173549	174256	complete	NODE_18_length_93281_cov_10.372534:47953-48660
gene161		175155	175871	partial	NODE_18_length_93281_cov_10.372534:50151-50275
gene162		175935	178097	complete	NODE_18_length_93281_cov_10.372534:50339-52501
gene163		178058	178210	complete	NODE_18_length_93281_cov_10.372534:52462-52614
gene164		178453	179403	partial	NODE_18_length_93281_cov_10.372534:52857-53805
gene165		179446	180339	complete	NODE_18_length_93281_cov_10.372534:53851-54744
gene166		180388	180852	complete	NODE_18_length_93281_cov_10.372534:54793-55257
gene167		181005	181865	complete	NODE_18_length_93281_cov_10.372534:55410-56270
gene168		181933	183759	complete	NODE_18_length_93281_cov_10.372534:56338-58164
gene169		183821	184441	complete	NODE_18_length_93281_cov_10.372534:58226-58846
gene170		184486	185394	partial	NODE_18_length_93281_cov_10.372534:58951-59799
gene171		185557	186177	complete	NODE_18_length_93281_cov_10.372534:59962-60582
gene172		186287	187279	complete	NODE_18_length_93281_cov_10.372534:60692-61684
gene173		187324	188124	complete	NODE_18_length_93281_cov_10.372534:61729-62529
gene174		188213	189112	complete	NODE_18_length_93281_cov_10.372534:62618-63517
gene175		190201	192465	partial	NODE_18_length_93281_cov_10.372534:64606-66861
gene176		192524	193336	partial	NODE_18_length_93281_cov_10.372534:73332-73642,NODE_18_length_93281_cov_10.372534:73647-74140
gene177		193609	194370	complete	NODE_18_length_93281_cov_10.372534:74413-75174
gene178		194506	195954	complete	NODE_18_length_93281_cov_10.372534:75310-76758
gene180		196794	197399	partial	NODE_18_length_93281_cov_10.372534:77740-78203
gene181		197396	199036	complete	NODE_18_length_93281_cov_10.372534:78200-79840
gene182		199166	199417	complete	NODE_18_length_93281_cov_10.372534:79970-80221
gene183		199421	199957	complete	NODE_18_length_93281_cov_10.372534:80225-80761
gene184		199960	200739	complete	NODE_18_length_93281_cov_10.372534:80764-81543
gene185		200772	201575	complete	NODE_18_length_93281_cov_10.372534:81576-82379
gene186		201572	202060	complete	NODE_18_length_93281_cov_10.372534:82376-82864
gene187		202100	202219	complete	NODE_18_length_93281_cov_10.372534:82904-83023
gene188		202239	203714	partial	NODE_18_length_93281_cov_10.372534:83043-83929
gene196		212502	214028	partial	NODE_47_length_978_cov_15.340776:1-106
gene197		214464	217362	partial	NODE_47_length_978_cov_15.340776:750-978,NODE_49_length_836_cov_67.547250:836-1
gene202		221942	223126	partial	NODE_40_length_4432_cov_12.909872:4219-4432,NODE_34_length_34556_cov_10.668332:1-200
gene203		223463	223846	complete	NODE_34_length_34556_cov_10.668332:539-922
gene204		223848	224393	complete	NODE_34_length_34556_cov_10.668332:924-1469
gene205		224550	224978	complete	NODE_34_length_34556_cov_10.668332:1626-2054
gene206		224982	225686	complete	NODE_34_length_34556_cov_10.668332:2058-2762
gene207		226100	226597	complete	NODE_34_length_34556_cov_10.668332:3176-3673
gene208		226664	227029	complete	NODE_34_length_34556_cov_10.668332:3740-4105
gene209		227354	231382	complete	NODE_34_length_34556_cov_10.668332:4430-8458
gene210		231459	235682	complete	NODE_34_length_34556_cov_10.668332:8535-12758
gene236		259508	262406	partial	NODE_13_length_165527_cov_10.023307:1-250
gene237		262506	262620	complete	NODE_13_length_165527_cov_10.023307:350-464
gene238		262782	263243	complete	NODE_13_length_165527_cov_10.023307:626-1087
gene239		263400	264329	complete	NODE_13_length_165527_cov_10.023307:1244-2173
gene240		264590	266191	complete	NODE_13_length_165527_cov_10.023307:2434-4035
gene241		266256	267575	complete	NODE_13_length_165527_cov_10.023307:4100-5419
gene242		267678	269462	complete	NODE_13_length_165527_cov_10.023307:5522-7306
gene243		269513	270406	complete	NODE_13_length_165527_cov_10.023307:7357-8250
gene244		270538	274221	complete	NODE_13_length_165527_cov_10.023307:8382-12065
gene245		274351	275982	complete	NODE_13_length_165527_cov_10.023307:12195-13826
gene246		276070	276879	complete	NODE_13_length_165527_cov_10.023307:13914-14723
gene247		276872	278104	complete	NODE_13_length_165527_cov_10.023307:14716-15948
gene248		278177	279001	complete	NODE_13_length_165527_cov_10.023307:16021-16845
gene249		279013	279813	complete	NODE_13_length_165527_cov_10.023307:16857-17657
gene250		279879	280373	complete	NODE_13_length_165527_cov_10.023307:17723-18217
gene251		280373	280780	complete	NODE_13_length_165527_cov_10.023307:18217-18624
gene252		280790	281593	complete	NODE_13_length_165527_cov_10.023307:18634-19437
gene253		281664	282617	complete	NODE_13_length_165527_cov_10.023307:19508-20461
gene254		282961	283836	complete	NODE_13_length_165527_cov_10.023307:20805-21680
gene255		283833	284105	complete	NODE_13_length_165527_cov_10.023307:21677-21949
gene256		284222	285151	complete	NODE_13_length_165527_cov_10.023307:22928-23857
gene257		285290	286639	complete	NODE_13_length_165527_cov_10.023307:23996-25345
gene258		287404	289053	complete	NODE_13_length_165527_cov_10.023307:26110-27759
gene259		289103	289558	complete	NODE_13_length_165527_cov_10.023307:27809-28264
gene260		289567	290076	partial	NODE_13_length_165527_cov_10.023307:28273-28472
gene266		293373	293783	partial	NODE_13_length_165527_cov_10.023307:29181-29336
gene271		299296	300585	complete	NODE_13_length_165527_cov_10.023307:34852-36141
gene272		300700	301623	partial	NODE_13_length_165527_cov_10.023307:36256-36993,NODE_13_length_165527_cov_10.023307:37003-37188
gene273		301811	302308	complete	NODE_13_length_165527_cov_10.023307:37376-37873
gene274		302321	303187	complete	NODE_13_length_165527_cov_10.023307:37886-38752
gene288		314330	315409	complete	NODE_13_length_165527_cov_10.023307:49904-50983
gene289		315586	316779	complete	NODE_13_length_165527_cov_10.023307:51160-52353
gene294		321668	322192	partial	NODE_13_length_165527_cov_10.023307:57245-57726
gene297		324484	326742	complete	NODE_13_length_165527_cov_10.023307:60078-62336
gene298		327006	327374	complete	NODE_13_length_165527_cov_10.023307:62600-62968
gene299		327408	329168	complete	NODE_13_length_165527_cov_10.023307:63002-64762
gene300		329391	329510	complete	NODE_13_length_165527_cov_10.023307:64985-65104
gene301		329542	329772	partial	NODE_13_length_165527_cov_10.023307:65185-65366
gene302		329794	332217	partial	NODE_13_length_165527_cov_10.023307:65388-67810
gene307		335826	336908	partial	NODE_13_length_165527_cov_10.023307:73436-74503
gene308		336938	338077	complete	NODE_13_length_165527_cov_10.023307:74533-75672
gene309		338138	338971	complete	NODE_13_length_165527_cov_10.023307:75733-76566
gene310		338968	339825	complete	NODE_13_length_165527_cov_10.023307:76563-77420
gene311		339872	340153	complete	NODE_13_length_165527_cov_10.023307:77467-77748
gene327		355924	357579	complete	NODE_13_length_165527_cov_10.023307:93533-95188
gene328		357576	357887	complete	NODE_13_length_165527_cov_10.023307:95185-95496
gene329		358071	360029	complete	NODE_13_length_165527_cov_10.023307:95680-97638
gene330		360130	360330	complete	NODE_13_length_165527_cov_10.023307:97739-97939
gene331		360442	361755	complete	NODE_13_length_165527_cov_10.023307:98051-99364
gene333		362708	364387	complete	NODE_13_length_165527_cov_10.023307:100351-102030
gene334		364436	364855	complete	NODE_13_length_165527_cov_10.023307:102079-102498
gene335		364809	364949	complete	NODE_13_length_165527_cov_10.023307:102452-102592
gene336		365128	365856	complete	NODE_13_length_165527_cov_10.023307:102771-103499
gene337		365942	366700	complete	NODE_13_length_165527_cov_10.023307:103585-104343
gene338		366706	367623	complete	NODE_13_length_165527_cov_10.023307:104349-105266
gene339		367748	368755	complete	NODE_13_length_165527_cov_10.023307:105391-106398
gene340		368830	369771	complete	NODE_13_length_165527_cov_10.023307:106473-107414
gene341		369802	370800	complete	NODE_13_length_165527_cov_10.023307:107445-108443
gene342		370797	372317	complete	NODE_13_length_165527_cov_10.023307:108440-109960
gene343		372497	374782	complete	NODE_13_length_165527_cov_10.023307:110140-112425
gene344		374853	375206	complete	NODE_13_length_165527_cov_10.023307:112496-112849
gene345		375228	375986	complete	NODE_13_length_165527_cov_10.023307:112871-113629
gene346		376002	376565	complete	NODE_13_length_165527_cov_10.023307:113645-114208
gene347		376565	377701	complete	NODE_13_length_165527_cov_10.023307:114208-115344
gene348		377698	378378	complete	NODE_13_length_165527_cov_10.023307:115341-116021
gene349		378486	379244	complete	NODE_13_length_165527_cov_10.023307:116129-116887
gene350		379241	380089	complete	NODE_13_length_165527_cov_10.023307:116884-117732
gene351		380082	381146	complete	NODE_13_length_165527_cov_10.023307:117725-118789
gene352		381147	381731	complete	NODE_13_length_165527_cov_10.023307:118790-119374
gene353		381728	382180	complete	NODE_13_length_165527_cov_10.023307:119371-119823
gene354		382181	382906	complete	NODE_13_length_165527_cov_10.023307:119824-120549
gene355		383062	383661	complete	NODE_13_length_165527_cov_10.023307:120705-121304
gene356		383725	383958	complete	NODE_13_length_165527_cov_10.023307:121368-121601
gene357		384605	386107	complete	NODE_13_length_165527_cov_10.023307:122248-123750
gene358		386157	387095	complete	NODE_13_length_165527_cov_10.023307:123800-124738
gene359		387335	388687	complete	NODE_13_length_165527_cov_10.023307:124978-126330
gene360		388781	390196	complete	NODE_13_length_165527_cov_10.023307:126424-127839
gene361		390202	390324	complete	NODE_13_length_165527_cov_10.023307:127845-127967
gene362		390472	391428	complete	NODE_13_length_165527_cov_10.023307:128115-129071
gene363		391438	391809	complete	NODE_13_length_165527_cov_10.023307:129081-129452
gene371		395784	396569	complete	NODE_13_length_165527_cov_10.023307:132049-132834
gene372		396615	397064	complete	NODE_13_length_165527_cov_10.023307:132881-133330
gene373		397064	398392	complete	NODE_13_length_165527_cov_10.023307:133330-134658
gene374		398385	400400	complete	NODE_13_length_165527_cov_10.023307:134651-136666
gene375		400409	402856	complete	NODE_13_length_165527_cov_10.023307:136675-139122
gene384		410427	411728	complete	NODE_13_length_165527_cov_10.023307:146533-147834
gene385		411844	413280	complete	NODE_13_length_165527_cov_10.023307:147950-149386
gene386		413305	413463	complete	NODE_13_length_165527_cov_10.023307:149411-149569
gene387		413618	414094	complete	NODE_13_length_165527_cov_10.023307:149724-150200
gene388		414146	415396	complete	NODE_13_length_165527_cov_10.023307:150252-151502
gene389		415448	415594	complete	NODE_13_length_165527_cov_10.023307:151554-151700
gene390		415629	415922	complete	NODE_13_length_165527_cov_10.023307:151735-152028
gene391		415960	417606	complete	NODE_13_length_165527_cov_10.023307:152066-153712
gene392		417867	418220	complete	NODE_13_length_165527_cov_10.023307:153973-154326
gene393		418275	419138	partial	NODE_13_length_165527_cov_10.023307:154381-154782
gene402		429849	430811	partial	NODE_28_length_56662_cov_9.648147:56046-55088
gene403		430919	431485	complete	NODE_28_length_56662_cov_9.648147:54980-54414
gene404		431559	431690	complete	NODE_28_length_56662_cov_9.648147:54340-54209
gene405		431850	431996	complete	NODE_28_length_56662_cov_9.648147:54049-53903
gene406		432140	432457	complete	NODE_28_length_56662_cov_9.648147:53759-53442
gene407		432454	432987	complete	NODE_28_length_56662_cov_9.648147:53445-52912
gene408		433101	433460	complete	NODE_28_length_56662_cov_9.648147:52798-52439
gene409		433471	433866	complete	NODE_28_length_56662_cov_9.648147:52428-52033
gene410		433877	434611	complete	NODE_28_length_56662_cov_9.648147:52022-51288
gene411		434604	436394	complete	NODE_28_length_56662_cov_9.648147:51295-49505
gene412		436670	437647	complete	NODE_28_length_56662_cov_9.648147:49229-48252
gene413		437830	439332	complete	NODE_28_length_56662_cov_9.648147:48069-46567
gene414		439370	442699	complete	NODE_28_length_56662_cov_9.648147:46529-43200
gene415		442723	443685	complete	NODE_28_length_56662_cov_9.648147:43176-42214
gene416		443846	444907	complete	NODE_28_length_56662_cov_9.648147:42053-40992
gene417		445002	445547	complete	NODE_28_length_56662_cov_9.648147:40897-40352
gene418		445591	446322	complete	NODE_28_length_56662_cov_9.648147:40308-39577
gene419		446347	446547	complete	NODE_28_length_56662_cov_9.648147:39552-39352
gene420		447255	448394	complete	NODE_28_length_56662_cov_9.648147:38644-37505
gene421		448408	449919	complete	NODE_28_length_56662_cov_9.648147:37491-35980
gene422		449924	450373	complete	NODE_28_length_56662_cov_9.648147:35975-35526
gene423		450390	451745	complete	NODE_28_length_56662_cov_9.648147:35509-34154
gene424		451756	452079	complete	NODE_28_length_56662_cov_9.648147:34143-33820
gene425		452067	453614	complete	NODE_28_length_56662_cov_9.648147:33832-32285
gene426		453652	454557	complete	NODE_28_length_56662_cov_9.648147:32247-31342
gene427		454650	454958	complete	NODE_28_length_56662_cov_9.648147:31249-30941
gene428		455034	456314	complete	NODE_28_length_56662_cov_9.648147:30865-29585
gene429		456380	457642	complete	NODE_28_length_56662_cov_9.648147:29519-28257
gene430		457645	458649	complete	NODE_28_length_56662_cov_9.648147:28254-27250
gene431		458732	459022	complete	NODE_28_length_56662_cov_9.648147:27167-26877
gene432		459000	459140	complete	NODE_28_length_56662_cov_9.648147:26899-26759
gene433		459245	459442	complete	NODE_28_length_56662_cov_9.648147:26654-26457
gene434		459545	460843	complete	NODE_28_length_56662_cov_9.648147:26354-25056
gene435		460994	461419	complete	NODE_28_length_56662_cov_9.648147:24905-24480
gene436		461456	463888	complete	NODE_28_length_56662_cov_9.648147:24443-22011
gene437		463979	464701	complete	NODE_28_length_56662_cov_9.648147:21920-21198
gene438		464827	466464	complete	NODE_28_length_56662_cov_9.648147:21072-19435
gene439		466455	466730	complete	NODE_28_length_56662_cov_9.648147:19444-19169
gene440		466868	467176	complete	NODE_28_length_56662_cov_9.648147:19031-18723
gene441		467386	468102	complete	NODE_28_length_56662_cov_9.648147:18513-17797
gene442		468099	468854	complete	NODE_28_length_56662_cov_9.648147:17800-17045
gene443		468962	470026	complete	NODE_28_length_56662_cov_9.648147:16937-15873
gene444		470389	471789	complete	NODE_28_length_56662_cov_9.648147:15510-14110
gene445		471850	472107	complete	NODE_28_length_56662_cov_9.648147:14049-13792
gene446		472117	472584	complete	NODE_28_length_56662_cov_9.648147:13782-13315
gene447		472598	473248	complete	NODE_28_length_56662_cov_9.648147:13301-12651
gene448		473258	474112	complete	NODE_28_length_56662_cov_9.648147:12641-11787
gene449		474112	474798	complete	NODE_28_length_56662_cov_9.648147:11787-11101
gene450		474862	476055	complete	NODE_28_length_56662_cov_9.648147:11037-9844
gene451		476205	476480	complete	NODE_28_length_56662_cov_9.648147:9694-9419
gene452		476821	477216	complete	NODE_28_length_56662_cov_9.648147:9078-8683
gene453		477541	477768	complete	NODE_28_length_56662_cov_9.648147:8358-8131
gene454		477810	478259	complete	NODE_28_length_56662_cov_9.648147:8089-7640
gene455		478368	479042	complete	NODE_28_length_56662_cov_9.648147:7531-6857
gene456		479261	479881	complete	NODE_28_length_56662_cov_9.648147:6638-6018
gene457		480186	481589	complete	NODE_28_length_56662_cov_9.648147:5713-4310
gene458		481694	482356	complete	NODE_28_length_56662_cov_9.648147:4205-3543
gene459		482439	483410	complete	NODE_28_length_56662_cov_9.648147:3460-2489
gene460		483486	484310	complete	NODE_28_length_56662_cov_9.648147:2413-1589
gene461		484388	485236	complete	NODE_28_length_56662_cov_9.648147:1511-663
gene462		485326	485697	complete	NODE_28_length_56662_cov_9.648147:573-202
gene463		485752	487695	complete	NODE_22_length_75116_cov_9.737735:359-2302
gene464		487935	488630	complete	NODE_22_length_75116_cov_9.737735:2542-3237
gene465		488620	489177	complete	NODE_22_length_75116_cov_9.737735:3227-3784
gene466		489501	489707	complete	NODE_22_length_75116_cov_9.737735:4108-4314
gene467		489970	491307	complete	NODE_22_length_75116_cov_9.737735:8743-10080
gene468		491488	492126	partial	NODE_22_length_75116_cov_9.737735:15926-16558
gene469		492335	494068	complete	NODE_22_length_75116_cov_9.737735:16767-18500
gene470		494065	497841	complete	NODE_22_length_75116_cov_9.737735:18497-22273
gene471		497898	498188	complete	NODE_22_length_75116_cov_9.737735:22330-22620
gene473		499548	500735	partial	NODE_22_length_75116_cov_9.737735:22753-22922
gene474		500810	501340	complete	NODE_22_length_75116_cov_9.737735:22997-23527
gene475		501795	502700	complete	NODE_22_length_75116_cov_9.737735:23982-24887
gene476		502713	502841	complete	NODE_22_length_75116_cov_9.737735:24900-25028
gene477		502824	504326	complete	NODE_22_length_75116_cov_9.737735:25011-26513
gene478		504337	505362	complete	NODE_22_length_75116_cov_9.737735:26524-27549
gene479		505373	506347	complete	NODE_22_length_75116_cov_9.737735:27560-28534
gene480		506390	507388	complete	NODE_22_length_75116_cov_9.737735:28577-29575
gene481		507564	508937	complete	NODE_22_length_75116_cov_9.737735:29751-31124
gene482		509006	509533	complete	NODE_22_length_75116_cov_9.737735:31193-31720
gene483		509577	510785	complete	NODE_22_length_75116_cov_9.737735:31764-32972
gene484		510970	511086	complete	NODE_22_length_75116_cov_9.737735:33157-33273
gene485		511800	512351	complete	NODE_22_length_75116_cov_9.737735:33892-34443
gene486		512459	513799	complete	NODE_22_length_75116_cov_9.737735:34551-35891
gene487		513836	514222	complete	NODE_22_length_75116_cov_9.737735:35928-36314
gene488		514277	514408	complete	NODE_22_length_75116_cov_9.737735:36369-36500
gene489		514512	514850	complete	NODE_22_length_75116_cov_9.737735:36604-36942
gene490		514861	515223	complete	NODE_22_length_75116_cov_9.737735:36953-37315
gene491		515226	515525	complete	NODE_22_length_75116_cov_9.737735:37318-37617
gene492		515547	516323	partial	NODE_22_length_75116_cov_9.737735:37639-38233,NODE_22_length_75116_cov_9.737735:38234-38414
gene493		516337	516981	complete	NODE_22_length_75116_cov_9.737735:38428-39072
gene494		517087	518220	complete	NODE_22_length_75116_cov_9.737735:39186-40319
gene495		518204	519322	complete	NODE_22_length_75116_cov_9.737735:40303-41421
gene496		519319	520059	complete	NODE_22_length_75116_cov_9.737735:41418-42158
gene502		524516	526654	complete	NODE_22_length_75116_cov_9.737735:46103-48241
gene509		531156	532811	partial	NODE_22_length_75116_cov_9.737735:48632-50282
gene510		532863	534281	complete	NODE_22_length_75116_cov_9.737735:50334-51752
gene511		534412	535359	complete	NODE_22_length_75116_cov_9.737735:51885-52832
gene523		547264	548268	partial	NODE_22_length_75116_cov_9.737735:58801-59795
gene524		548432	548854	complete	NODE_22_length_75116_cov_9.737735:59959-60381
gene525		548913	549677	complete	NODE_22_length_75116_cov_9.737735:60440-61204
gene526		549939	550442	complete	NODE_22_length_75116_cov_9.737735:61466-61969
gene527		550563	553418	complete	NODE_22_length_75116_cov_9.737735:62090-64945
gene528		553418	553861	complete	NODE_22_length_75116_cov_9.737735:64945-65388
gene529		553981	555492	complete	NODE_22_length_75116_cov_9.737735:65508-67019
